Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
Pt62	0.000420605190761692	0	4.85449240468604e-05	0.00566854122475559	0	0.0092811449025829	0.000201392402692073	0.00508273514391223	0.000484542857873918	0.00755118715051433	0	0.00417056139959234	0.00565424789762237	0.0107031100722946	0.00620451737679436	0.0313888988665667	0.0329268645320406	0	0.0071990092101249	0	0	0	9999	0.0693191421019792	1.06983481566044	0.126985903152176
Pt65	0.00980984493373934	0	0.0495210739990732	0	0	0.0882293052458931	0	0.0346041826013717	0.0108470302707313	0.013122103888254	0	0	0	0.103403568384026	0.0921880379144752	0.125303073788073	0.00545126702147778	0	0.0342090684020807	0	0	0	9999	0.385112621793322	0.926258348457388	0.566688556449195
Pt66	0.00701546787612867	0	0.00574067424187309	0.0278778809587342	0	0.00578957441698931	0.00214648360899139	0.0145861065536347	0	0	0	0.00587767611955863	0.00646249670872772	0	0.00936315009710643	0.125270116333258	0.0249926776462835	0	0	0.00384123568914762	0	0.00633376721943434	9999	0.0316338113140619	1.0997195475871	0.245297307469868
Pt67	0.0159528427194922	0	0.0325387488958729	0.0408552977187011	0	0.0311150705469301	0	0.00695079742221825	0.00803069073869461	0	0	0	0.000188771649154614	2.53336512751212e-05	0.00680882165424201	0.0346267037151699	0.00120711745767218	0	0.0263298718598588	0.00127913126256979	0	0	9999	0.163451977638448	1.011631012104	0.205909199291852
Pt72	0	0.0138949533045735	0.000210205804609218	0.00237092444019439	0	0.0284769550207632	0	0.00365521422300979	0.000681894467081131	0	0.0120157296289134	0.000484895263215286	0.00541728891603038	0.0270441019337986	1.45496810436039e-05	0.0568862800984781	0.000602953392311022	0	0.010681937017424	0	0	0.0150195037779141	9999	0.0430074185669934	1.08313549758137	0.17745738696936
Pt77	0.125355085922997	0.190225690766538	0	0.168469080349033	0	0.0661065731470755	0.099209331078702	0.0621738458414965	0.0196328543420065	0	0	0.0636618072976421	0.00942125632004201	0.0436028174079916	0.142328923287469	0.128881693372151	0.0232293936754102	0	0.0840354994147193	0	0	0	9999	0.385032567493387	0.923168451094491	1.22633385222327
Pt78	0	0.000667573808342689	0.000894510092065407	0.00272092112864168	0	0.00695649892900321	0	0.00228309595525117	0	0	0	0.000125557381498017	0.00304464227514509	0.00130884602111611	0	0.0119841124319705	0.000151510183500681	0	0.00772094457196763	0	0.000240691807140187	0	9999	0.0479093289250398	1.06813094005194	0.0380989045856424
Pt79	0.0068596319013605	0	0.0129504825733024	0.0323040275863221	0	0.0102676607880616	0	0.0284922620751399	0	0.00748563454904308	0	0.0110735513614925	0.0130220838130618	0	0.0222973246290645	0.0919045835855358	0.000215228570278623	0	0.0035621431955636	0	0	0	9999	0.0816352831025018	1.06204875094808	0.240434614628226
Pt8	0.00275284015999989	0	0.0523773131607436	0.00837717130051104	0	0.0913122628282109	0.00199216082031434	0.00739873833662406	0.00491482799181131	0	0	0.0123333598618751	0.000674894905672325	0.0263885405132643	0.0448140444595714	0.211893580291894	0.0125564733433383	0	0.029509259951345	0	0	0.000706827855338163	9999	0.141910641098341	1.03508807220456	0.508002295780514
Pt82	0.00975504124123369	0	0.0105886358025802	0.051939353413054	0	0.018207800494284	0.00195535133541073	0.0137283555519952	0.00976163354405985	0	0	0.00722154731123597	0.0124575168584363	0.0173017523353325	0.0183909154095505	0.210046402797905	0.0443743051407364	0	0.0135677520990018	0	0	0.000648603664129343	9999	0.30980113728293	0.965731314795667	0.439944966998946
Pt84	1.25633104855966e-05	0.000473955883113612	0.000766520467418079	0.00221942271796525	0	0.0147513146398309	0	0.000265114893155022	0	0	0.0019745793109938	0.00505105574988282	0.00562019229848561	0	0	0.0340849953546416	0.000122785343847664	0	0.00485519380003735	0	1.57801537432354e-05	0	9999	0.01275975854212	1.10389957302155	0.0702134739236006
Pt85	0	0.00186787076013784	0	0	0	0.020212048437845	0	0.000757760832495277	0.00125244623147807	0	0.00424977713157176	0.00114523049485298	0.00109404505318182	0.00335315289789508	0.000188516773716784	0.0198055642694296	4.84744844657488e-05	0	0.00107492712233866	0	0	0.000303033212391077	9999	-0.00457858695046371	1.10565092545023	0.0553528477017997
Pt89	0.000686787965501327	0	0.0121062268134812	0	0	0.0458164886706185	0	0.0297401383024106	0.000147992014586427	0.0104134934115881	0	0	0	0.0617513443575011	0.0408595303680263	0.112268067509682	0.0293742482835397	0	0.107480703029691	0	0	0.00389784653745161	9999	0.16934161722504	1.02604052254506	0.454542867264078
Pt9	0	0	0.00440316983424891	0	0.00876907834447946	0.00135020896933445	0	0.000774735826825741	0.000602295861433713	0.00646077792658908	0.00972104598700139	0	0	0.14073263849043	0.00155507642436658	0.216731374171296	0.00227554329998554	0	0	0.00359648495603596	0	0.000556968695394678	9999	0.662587996468521	0.749646321028422	0.397529398787421
Pt90	0.000579770925365499	0	0.03274045931252	0.073075300333562	0	0.0186514539846976	0.052740259911971	0.0114317956367734	0	0.0159765739580913	0.0153140086860941	0	0	0.0201925306350038	0.0119363311298132	0.160885479432198	0.00343714254818737	0	0	0.117005694243846	0	0.138269279622412	9999	0.27994191349119	0.984013553702384	0.672236080360535
Pt92	0.0269063021004108	0	0.00840326752599421	0.166196025891437	0	0	0.0514213634384651	0.0478444481060537	0	0.0229216370177631	0	0.0275030119406573	0.0116336753480044	0	0.0746754853469658	0.223772757825584	0.00401673047695304	0	0	0	0	0	9999	0.328538891877093	0.955303116203402	0.665294705018288
Pt94	0.0361861644478914	0	0.0316663052855167	0.0509921263233274	0	0.0598868765388853	0.0112182228999242	0.00732935332266076	0.00352975263132209	0.00955300468666269	0	0	0.00213952748185819	0	0.0119138272202082	0.226503149052642	0.0120151979537748	0	0.00534622175895535	0	0	0.0199909883824216	9999	0.20183785248122	1.0087135285156	0.48827071798605
Pt98	0.00275839455858879	0	0.00141589097264996	0.00696197452293821	0	0.0112384234408397	0.0017422780027426	0.00288155353356483	4.64097408244743e-05	0.00333750753801777	0	0.00136579989073087	0.0042230415027499	0.0116745742335022	0.00529211102131275	0.0782251029256335	0.00840773520989566	0	0.00243539984319819	0	0	0	9999	0.202404738985827	1.03391244649034	0.142006196937189
